product_link,product_name,brand,Price,rating,review_count,Refresh_Rate,Contrast_Ratio,Response_Time,Synchronization_Technology,Panel_Type,Curved_Screen,Brightness,Screen_Size,HDR,Smart_Display,Touch_Screen,Quantum_Dot_Technology,Headphone_Jack,Voice_Assistant,Wall_Mountable,Anti_Glare,Speaker,Webcam,Weight,Resolution,Total_Pixels
https://www.bestbuy.com/site/lg-32-ultrafine-ips-uhd-monitor-with-freesync-white/6437472.p?skuId=6437472,"LG - 32"" UltraFine IPS UHD Monitor with FreeSync - White",LG,468.99,4.7,85.0,60.0,1000.0,5.0,FreeSync,IPS,No,350.0,32.0,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,18.1,3840 x 2160,8294400
https://www.bestbuy.com/site/samsung-odyssey-g5-32-led-curved-wqhd-freesync-monitor-with-hdr-hdmi-black/6424359.p?skuId=6424359,"Samsung - Odyssey G5 32"" LED Curved WQHD FreeSync Monitor with HDR (HDMI) - Black",Samsung,399.99,4.6,125.0,144.0,2500.0,1.0,FreeSync,VA,Yes,250.0,32.0,Yes,No,No,No,Yes,No,Yes,No,No,No,12.56,2560 x 1440,3686400
https://www.bestbuy.com/site/viewsonic-27-lcd-curved-fhd-monitor-displayport-hdmi-black/6464709.p?skuId=6464709,ViewSonic - 27 LCD Curved FHD Monitor (DisplayPort HDMI) - Black,ViewSonic,199.99,3.0,2.0,120.0,80000000.0,1.0,VSync,MVA,Yes,250.0,27.0,No,No,No,No,Yes,No,Yes,Yes,Yes,No,7.28,1920 x 1080,2073600
https://www.bestbuy.com/site/viewsonic-27-usb-3-0-ips-led-fhd-monitor-displayport-mini-displayport-hdmi-usb-vga/6258058.p?skuId=6258058,"ViewSonic - 27"" USB 3.0 IPS LED FHD Monitor (DisplayPort, Mini DisplayPort, HDMI, USB, VGA)",ViewSonic,269.99,4.5,4.0,60.0,1000.0,7.0,Not Applicable,IPS,No,300.0,27.0,No,No,No,No,No,No,Yes,Yes,Yes,No,16.1,1920 x 1080,2073600
https://www.bestbuy.com/site/samsung-odyssey-g5-27-ips-1ms-qhd-freesync-g-sync-compatible-gaming-monitor-with-hdr-black/6471364.p?skuId=6471364,"Samsung - Odyssey G5 27"" IPS 1ms QHD FreeSync & G-Sync Compatible Gaming Monitor with HDR - Black",Samsung,399.99,4.3,29.0,165.0,1000.0,1.0,FreeSync&G-SYNC,IPS,No,350.0,27.0,Yes,No,No,No,Yes,No,Yes,No,No,No,13.4,2560 x 1440,3686400
https://www.bestbuy.com/site/acer-aopen-25mh1q-pbipx-24-5-zeroframe-tn-gaming-monitor-amd-radeon-freesync-technology-hdmi/6435024.p?skuId=6435024,"Acer - AOpen 25MH1Q PBIPX 24.5"" Zeroframe TN Gaming Monitor AMD Radeon FreeSync technology (HDMI)",Acer,159.99,4.5,35.0,144.0,100000000.0,1.0,Not Applicable,TN,No,250.0,24.5,No,No,No,No,No,No,Yes,No,No,No,7.72,1920 x 1080,2073600
https://www.bestbuy.com/site/samsung-odyssey-g7-32-led-curved-qhd-freesync-and-g-sync-compatible-monitor-with-hdr-displayport-hdmi-black/6405456.p?skuId=6405456,"Samsung - Odyssey G7 32"" LED Curved QHD FreeSync and G-SYNC Compatible Monitor with HDR (DisplayPort, HDMI) - Black",Samsung,799.99,4.4,230.0,240.0,2500.0,1.0,FreeSync&G-SYNC,VA,Yes,350.0,32.0,Yes,No,No,Yes,Yes,No,Yes,No,No,No,18.1,2560 x 1440,3686400
https://www.bestbuy.com/site/viewsonic-elite-27-ips-led-fhd-g-sync-monitor-hdmi-black/6396524.p?skuId=6396524,"ViewSonic - ELITE 27"" IPS LED FHD G-SYNC Monitor (HDMI) - Black",ViewSonic,399.99,5.0,7.0,240.0,120000000.0,1.0,G-SYNC,IPS,No,400.0,27.0,No,No,No,No,No,No,Yes,Yes,Yes,No,17.4,1920 x 1080,2073600
https://www.bestbuy.com/site/samsung-am500-series-27-led-fhd-smart-tizen-monitor-white/6463481.p?skuId=6463481,"Samsung - AM500 Series 27"" LED FHD Smart Tizen Monitor - White",Samsung,249.99,4.7,19.0,60.0,3000.0,8.0,Not Applicable,VA,No,250.0,27.0,Yes,No,No,No,No,Yes,Yes,No,Yes,No,11.0,1920 x 1080,2073600
https://www.bestbuy.com/site/samsung-geek-squad-certified-refurbished-24-led-curved-fhd-freesync-monitor-high-glossy-black/6379322.p?skuId=6379322,"Samsung - Geek Squad Certified Refurbished 24"" LED Curved FHD FreeSync Monitor - High Glossy Black",Samsung,125.99,4.0,8.0,60.0,3000.0,4.0,FreeSync,VA,Yes,250.0,23.5,No,No,No,No,Yes,No,Yes,No,No,Yes,7.3,1920 x 1080,2073600
https://www.bestbuy.com/site/asus-lcd-monitor-black/6408468.p?skuId=6408468,ASUS - LCD Monitor - Black,ASUS,249.99,4.8,13.0,165.0,100000000.0,0.5,FreeSync,TN,No,400.0,27.0,No,No,No,No,Yes,No,Yes,Yes,Yes,No,12.4,1920 x 1080,2073600
https://www.bestbuy.com/site/samsung-27-390-series-business-monitor-black/5578821.p?skuId=5578821,"Samsung - 27"" 390 Series Business Monitor - Black",Samsung,209.99,4.8,11.0,60.0,3000.0,4.0,FreeSync,Not Applicable,Yes,250.0,27.0,No,No,No,No,No,No,Yes,No,No,No,9.7,1920 x 1080,2073600
